Simulation,Mean_Log_Wealth,Std_Log_Wealth,Slope_Log_Wealth,Time_to_Ruin,Peak_Wealth,Min_Wealth,Final_Wealth
1,8.010344572,0.733593236,-5.67E-05,,13109.99419,620.9213231,3797.498336
2,5.558363786,0.658888164,-0.028305104,75,1210,92.29599818,92.29599818
3,6.067683784,0.657514442,-0.000881431,553,1948.7171,92.29599818,92.29599818
4,10.5975256,1.600112479,0.002950622,,445791.5685,1000,11918.17654
5,6.572027313,0.697564899,-0.000602233,,2593.74246,122.8459736,263.3312543
6,5.972951427,0.579840577,-0.002791524,473,1464.1,92.29599818,92.29599818
7,8.999818486,1.833584064,0.005846425,,276801.4905,513.1581182,171871.9477
8,6.380145355,0.74916735,-0.013613569,167,1464.1,92.29599818,92.29599818
9,6.856148768,0.913381331,0.001881471,,7400.249944,179.8587899,1210
10,7.051947718,1.029503163,-0.006074161,465,5054.470285,92.29599818,92.29599818
11,8.295227747,0.706312285,0.001233856,,21113.77675,513.1581182,4594.972986
12,6.149721649,0.90441521,-0.01951514,149,1948.7171,92.29599818,92.29599818
13,6.79573944,0.993013427,-0.002398005,541,8140.274939,92.29599818,92.29599818
14,7.440387792,0.433401995,-0.000248599,,4594.972986,513.1581182,683.0134554
15,7.036334106,1.219971879,-0.006740801,423,6115.909045,92.29599818,92.29599818
16,5.793817553,0.771526008,-0.016219094,159,1210,92.29599818,92.29599818
17,6.497392005,0.597523084,-0.003237934,503,2593.74246,92.29599818,92.29599818
18,6.671882607,1.047696035,-0.00244897,713,7400.249944,92.29599818,92.29599818
19,6.884332398,0.816726018,0.001481821,,8954.302433,197.8446689,6727.499949
20,8.383968094,0.7234821,-0.000758805,,28102.43685,751.3148009,2143.58881
21,5.867408009,0.677258071,-0.017409085,129,1210,92.29599818,92.29599818
22,8.487561976,1.264520536,0.003769815,,80179.53205,350.4938995,30912.68053
23,8.307224832,0.895248184,0.000241294,,25547.66986,683.0134554,683.0134554
24,6.697711067,0.850019801,0.000280568,,4594.972986,135.1305709,1771.561
25,7.964641389,1.347098456,0.003960829,,41144.77779,289.6643797,37404.34344
26,6.068611305,0.708407483,-0.012657227,183,1771.561,92.29599818,92.29599818
27,7.118370781,0.634193595,-0.000282117,,4177.248169,289.6643797,683.0134554
28,5.958549809,0.756207802,-0.007424458,317,1948.7171,92.29599818,92.29599818
29,8.018152199,2.06453469,0.005841971,,539407.7978,148.643628,368422.7838
30,7.195875763,0.705692237,3.97E-05,,7400.249944,318.6308177,2593.74246
31,7.279809475,0.926534362,-0.006868702,331,5054.470285,92.29599818,92.29599818
32,6.261234559,0.859020357,-0.001305426,959,4177.248169,92.29599818,92.29599818
33,7.666808979,1.163540459,0.002086759,,14420.99361,135.1305709,5559.917313
34,8.622576796,1.464628752,0.00481281,,80179.53205,350.4938995,37404.34344
35,8.592488867,1.900709222,0.006070762,,129129.9382,289.6643797,54763.69924
36,7.41982136,1.299676053,0.00265102,,30912.68053,179.8587899,9849.732676
37,7.317962818,1.177610142,-0.002890706,713,13109.99419,92.29599818,92.29599818
38,8.574778883,1.554117977,0.004626863,,189059.1425,513.1581182,117390.8529
39,10.11364315,2.790935566,0.009147389,,7071633.096,564.4739301,4390927.778
40,7.562643807,0.79280188,0.00058641,,11918.17654,350.4938995,5559.917313
41,6.605737353,0.647231369,-0.005393707,313,1610.51,92.29599818,92.29599818
42,9.599863195,0.911695773,0.001061265,,156247.2252,909.0909091,17449.40227
43,6.461566906,0.789996141,-0.004882811,473,2143.58881,92.29599818,92.29599818
44,5.808213361,0.708268339,-0.005379659,383,1464.1,92.29599818,92.29599818
45,5.8234549,0.626962761,-0.011360776,161,1000,92.29599818,92.29599818
46,8.209343848,1.280102622,-0.002576667,,37404.34344,318.6308177,826.446281
47,8.663519231,1.003626651,0.001252292,,45259.25557,826.446281,1464.1
48,7.783923385,1.063924536,0.002878254,,30912.68053,318.6308177,25547.66986
49,6.195000891,0.64035981,-0.011074936,183,1331,92.29599818,92.29599818
50,6.064693416,0.681764481,-0.019494297,109,1331,92.29599818,92.29599818
51,6.825558245,0.84268616,-0.006057278,297,3138.428377,92.29599818,92.29599818
52,8.816624894,1.28618998,0.004149511,,80179.53205,683.0134554,45259.25557
53,8.427195688,0.835950758,-2.94E-05,,21113.77675,385.5432894,466.5073802
54,8.90936427,0.847146115,0.001850977,,37404.34344,909.0909091,5559.917313
55,9.106459247,1.736070306,0.005670736,,156247.2252,385.5432894,97017.23378
56,8.338836201,0.941591143,-0.000266718,,37404.34344,683.0134554,1464.1
57,7.88123308,0.795942777,0.00126684,,13109.99419,318.6308177,4594.972986
58,9.636806601,1.498327289,0.004452539,,171871.9477,1000,21113.77675
59,6.721133948,0.657147614,-0.00100082,,4177.248169,197.8446689,1210
60,6.075744283,0.690969104,-0.018995519,121,1210,92.29599818,92.29599818
61,5.944153207,0.600335387,-0.017040821,117,1100,92.29599818,92.29599818
62,5.408786088,0.567280712,-0.012222786,131,1000,92.29599818,92.29599818
63,6.018634852,0.572399961,-0.003612491,431,1331,92.29599818,92.29599818
64,6.477866655,0.723575076,-0.010167089,191,1610.51,92.29599818,92.29599818
65,5.656424854,0.539966059,-0.013328727,123,1100,92.29599818,92.29599818
66,7.314323179,0.981386162,-0.00056843,,14420.99361,217.6291358,1000
67,8.001965655,0.855529237,0.001654127,,25547.66986,385.5432894,9849.732676
68,7.316798768,0.845289886,0.001889526,,10834.70594,263.3312543,826.446281
69,6.073005682,0.651361855,-0.004221189,363,1464.1,92.29599818,92.29599818
70,7.271792708,1.149502101,-0.002339968,963,10834.70594,92.29599818,92.29599818
71,5.948588288,0.649646286,-0.019575937,109,1100,92.29599818,92.29599818
72,8.273518735,0.750432044,0.000112687,,15863.09297,620.9213231,1000
73,7.917986056,0.978381092,0.001622114,,28102.43685,385.5432894,2593.74246
74,8.342263939,1.378493692,0.004168568,,66264.07608,263.3312543,9849.732676
75,6.830440728,0.632684806,0.000214242,,4177.248169,148.643628,826.446281
76,6.299257628,0.83357441,-0.006065624,345,2853.116706,92.29599818,92.29599818
77,6.183397912,0.836017522,-0.019262531,139,1610.51,92.29599818,92.29599818
78,6.847690009,0.999236841,-0.003764746,767,6727.499949,92.29599818,92.29599818
79,6.019879721,0.580740394,-0.004840117,357,1464.1,92.29599818,92.29599818
80,6.912867071,0.679603316,-0.000990546,577,5559.917313,92.29599818,92.29599818
81,5.893213861,0.910365474,-0.006035188,483,3138.428377,92.29599818,92.29599818
82,5.592474798,0.409734601,-0.002260363,379,1000,92.29599818,92.29599818
83,6.778525888,0.752835767,-0.000563274,679,3452.271214,92.29599818,92.29599818
84,5.863848011,0.493557433,-0.002176719,401,1464.1,92.29599818,92.29599818
85,6.371314167,0.682134176,-0.000941408,,3138.428377,148.643628,564.4739301
86,7.669094138,1.190087743,-0.002825884,,11918.17654,111.6781578,179.8587899
87,9.598149325,1.503000705,0.003747597,,171871.9477,385.5432894,37404.34344
88,9.102650648,1.947517553,0.006555307,,207965.0567,197.8446689,80179.53205
89,5.989311728,0.653445868,0.000696173,,1948.7171,101.525598,217.6291358
90,8.520696783,1.693882649,0.005283423,,49785.18112,197.8446689,37404.34344
91,6.71484976,0.595672339,-0.000336776,,4594.972986,239.3920494,4594.972986
92,8.063664952,1.521816443,0.003544603,,97017.23378,101.525598,3138.428377
93,7.23015315,1.067614351,-0.000455219,,14420.99361,179.8587899,466.5073802
94,5.553653334,0.64877513,-0.011600893,163,1000,92.29599818,92.29599818
95,6.581229663,0.662398845,-0.002179538,701,3138.428377,92.29599818,92.29599818
96,5.727413947,0.664332883,-0.005208837,379,1331,92.29599818,92.29599818
97,6.561416879,0.711527976,-0.007124365,283,2143.58881,92.29599818,92.29599818
98,6.201717779,0.810513849,-0.002087535,975,4594.972986,92.29599818,92.29599818
99,5.942873571,0.635929861,-0.004977123,355,1464.1,92.29599818,92.29599818
100,6.214298926,0.517747009,-0.002304053,445,1610.51,92.29599818,92.29599818
101,6.855734837,0.878222104,-0.002540042,785,5054.470285,92.29599818,92.29599818
102,5.661391389,0.771783007,-0.016443646,155,1464.1,92.29599818,92.29599818
103,7.403253956,0.755074867,9.43E-05,,11918.17654,289.6643797,9849.732676
104,6.400878414,0.674369843,-0.006464571,285,2357.947691,92.29599818,92.29599818
105,6.619363679,0.576479589,-0.003123082,425,2143.58881,92.29599818,92.29599818
106,7.615392898,0.586716498,0.0010281,,9849.732676,620.9213231,2143.58881
107,8.225149533,0.97442167,-0.001791065,,21113.77675,289.6643797,4594.972986
108,6.794068611,1.062319742,-0.001236953,,14420.99361,135.1305709,6727.499949
109,6.655245192,0.589873913,-0.001502574,,3138.428377,197.8446689,385.5432894
110,5.797391684,0.48820308,-0.007695298,199,1000,92.29599818,92.29599818
111,6.459479733,0.76757931,-0.003681001,599,2593.74246,92.29599818,92.29599818
112,6.156324296,0.60818382,-0.006348808,275,1331,92.29599818,92.29599818
113,6.325801414,0.595530262,-0.000345057,,2853.116706,111.6781578,683.0134554
114,5.576794736,0.539444039,-0.004496406,309,1000,92.29599818,92.29599818
115,8.829383699,1.095700769,0.003002047,,97017.23378,751.3148009,6727.499949
116,9.704409226,0.891198785,0.001911155,,129129.9382,751.3148009,25547.66986
117,8.653807304,0.93949221,0.000110002,,80179.53205,1000,9849.732676
118,8.775111169,1.076836548,0.003054781,,49785.18112,683.0134554,45259.25557
