Simulation,Mean_Log_Wealth,Std_Log_Wealth,Slope_Log_Wealth,Time_to_Ruin,Peak_Wealth,Min_Wealth,Final_Wealth
1,4.791586735610793,1.3479559558499157,-0.0005033274470286161,8379.0,1065.038228421422,4.94289259130036,4.94289259130036
2,5.049144764557574,1.4816049376547489,-0.0004891976136384352,9121.0,1311.0439118229322,4.930221425080728,4.930221425080728
3,4.166382095143806,1.3807188333180207,-0.00046654476952577296,,1432.3189500628848,5.617566911551311,10.235553176446796
4,4.461068979191703,1.3308494908080195,-0.0006675804736744952,6808.0,1066.5689952098764,4.963091091032019,4.963091091032019
5,4.750665724792875,1.0262912685223995,-0.0004272410756643125,6763.0,1294.0641888296877,4.90825948520714,4.90825948520714
6,5.381561020698634,1.4153499223580326,-0.0004794086576207812,9439.0,2692.5896263966447,4.986765128903744,4.986765128903744
7,4.452128039170631,1.599038563829074,-0.0011588777124035804,4588.0,1134.4307473754893,4.994278242129973,4.994278242129973
8,6.5942433177996715,0.8131431417155021,-0.00022988325494421435,,2869.5806559107486,55.20011009615982,56.40776624766554
9,4.004785864848837,1.4400508232222704,-0.001947120027062162,2497.0,1061.9832826769234,4.9806421524626625,4.9806421524626625
10,4.2144307581193505,1.7218844263480801,-0.0009817729260795773,5969.0,1361.445570804767,4.982509864132672,4.982509864132672
11,5.288538439043905,1.3878588548979138,-0.0007090106975656004,5942.0,1021.8777851964782,4.906278095855003,4.906278095855003
12,5.86554713787185,1.2142483687172043,-0.0003772909637294917,,2422.381443537153,32.117967447466995,56.407766247665826
13,4.652150376310623,1.0079873817990463,-0.0003272672277648079,,1018.0712865054583,18.18170540433249,20.616013328362158
14,4.136356904451909,1.3967884813467726,-0.0007932961562709953,5781.0,1101.551294155622,4.98869271205742,4.98869271205742
15,5.008984525109528,1.8068805229956837,-0.0007693687454176207,7762.0,1672.8740071760794,4.915909492989177,4.915909492989177
16,4.271074430854063,1.3442174327081897,-0.0006703208492506506,6686.0,1406.0994995896397,4.891358482707127,4.891358482707127
17,4.651448080322388,1.6909467600111239,-0.0006921061229878466,8201.0,1437.3011706274247,4.937193662774849,4.937193662774849
18,4.124166055776606,1.5079601167099403,-0.0006250398537014062,8177.0,1367.8450128151112,4.965639595981079,4.965639595981079
19,5.108219982340712,0.8418805218866293,-0.00025219065204123075,,1223.6912008586423,35.33961290089187,43.381432541834165
20,5.286481324889603,1.2145425182969503,-0.0004122020657026227,9208.0,1334.5898916380222,4.9354283257318805,4.9354283257318805
21,4.596889242773275,1.5686294542360095,-0.0010540235179985697,4972.0,1776.0212016302964,4.9723751098184135,4.9723751098184135
22,3.6957080469101564,1.2311043030462931,-0.00041940845836152286,9362.0,1239.3685995922367,4.969593801641123,4.969593801641123
23,4.522217143067052,1.5560156379058985,-0.001491794873137356,3556.0,1249.6192423724617,4.917270757381103,4.917270757381103
