Simulation,Mean_Log_Wealth,Std_Log_Wealth,Slope_Log_Wealth,Time_to_Ruin,Peak_Wealth,Min_Wealth,Final_Wealth
1,6.807257579,0.253806722,0.000274703,,1404.563706,515.3781927,711.6620909
2,6.882144149,0.331137942,0.000854602,,2283.359585,536.4188697,1260.752805
3,7.225727349,0.285161889,0.000620137,,2975.260418,871.3520447,2030.455001
4,7.786971959,0.382284991,0.001277611,,4564.899208,956.7145679,4564.899208
5,7.633152184,0.449955441,0.001488008,,5293.30077,894.5122349,5021.389129
6,7.361884749,0.613516035,0.002006025,,5421.051716,628.3736995,4564.899208
7,7.190069345,0.294109654,0.000835348,,2688.767996,727.4208696,2576.766596
8,6.772075649,0.31663014,-0.000904404,,1716.692625,450.613599,646.9655372
9,7.647148784,0.314679883,0.000986479,,3488.234586,1000,3429.67634
10,6.902282114,0.137442993,-0.000297351,,1403.150437,691.3606078,746.3974978
11,7.109850737,0.127340827,-8.77E-05,,1709.413247,918.586027,1202.080634
12,7.284998665,0.396604633,0.001274456,,3618.547858,802.2468856,3117.887581
13,7.412824755,0.232159095,0.000346461,,2987.768706,934.9833952,1599.969324
14,6.808352551,0.286546948,-0.000446107,,1792.847739,468.9594908,678.5431798
15,7.2648607,0.258545922,0.000595864,,2509.371832,827.1556639,1759.966257
16,6.991355713,0.436230493,0.001250523,,2576.766596,503.246546,2576.766596
17,7.430867991,0.350373046,0.000941876,,3420.906107,739.2862998,2233.500501
18,6.383789023,0.52024989,-0.001552249,,1529.070391,269.2679164,486.0747837
19,7.855764772,0.616279541,0.002075784,,7345.312161,907.5568137,6683.46893
20,7.534795125,0.3831663,0.001129853,,3980.241203,934.9833952,3597.074891
21,7.493186185,0.6509261,0.002095903,,8510.527989,692.3888242,7009.681351
22,7.428773262,0.560961855,0.001844503,,5523.528042,715.7555546,5523.528042
23,6.918659088,0.294013373,0.000579733,,1935.962882,588.0789268,1935.962882
24,7.470810669,0.332905542,0.001055216,,3013.43212,924.7127259,2129.55917
25,8.151264415,0.675019262,0.002208712,,11317.9511,831.3910448,9785.266861
26,7.983067179,0.529092544,0.001740101,,8018.342596,915.3027644,7351.815823
27,7.821820637,0.362520625,0.001176984,,4326.398534,1000,3772.643973
28,6.580884,0.289266824,-0.000662598,,1471.616697,450.9881899,947.2222429
29,6.486906829,0.184595956,0.000177859,,1024.985812,454.3796945,616.8574362
30,7.943029287,0.51572998,0.001705699,,6723.366323,912.1915491,5266.477348
31,7.004162126,0.589864846,0.0016375,,3772.643973,497.2983205,3772.643973
32,6.929370771,0.153229308,7.13E-05,,1764.192066,771.4200213,947.2222429
33,7.050960281,0.186583968,0.000265799,,2233.500501,796.2158289,2233.500501
34,7.748552721,0.63586265,0.002094897,,7535.405029,842.8031153,6372.437591
35,7.805776915,0.525466249,0.001778188,,5973.236755,1000,5266.477348
36,6.758840769,0.241392946,-0.000597254,,1367.790665,529.6740785,821.0372476
37,7.795017624,0.603274074,0.002020793,,7196.968849,934.9833952,5793.125083
38,7.256243745,0.271824394,0.000788278,,2702.535606,907.5568137,2702.535606
39,7.796874316,0.476469113,0.001569308,,6372.437591,946.1923919,6372.437591
40,7.613585508,0.247363455,0.000268055,,3018.158627,933.3929866,2456.850551
41,7.042295719,0.470456089,0.001350787,,4196.057618,612.5550751,4149.908371
42,7.20339944,0.280773196,0.000851595,,2700.217865,796.0974249,2456.850551
43,7.298281152,0.278409897,0.00083571,,2328.582794,860.1865313,2129.55917
44,7.057149254,0.431962324,0.001364218,,2559.278939,550.7287879,2233.500501
45,7.035773494,0.290326729,0.000666006,,2302.910211,643.5826628,1525.510894
46,7.460527452,0.249619149,0.000633592,,2734.74993,924.7127259,2576.766596
47,7.855859986,0.59252919,0.001821346,,6211.766453,744.3378733,5021.389129
48,7.835626806,0.630053548,0.002044657,,6666.107847,904.5086137,4149.908371
49,8.390682444,0.817334828,0.002787045,,13567.18081,1000,11840.1729
50,7.752313712,0.388309109,0.001100965,,4139.240427,824.3440703,3772.643973
51,7.243389725,0.172150004,-0.000336746,,2116.492803,955.2679898,1322.288698
52,7.351506318,0.399218949,0.001271245,,4337.666123,825.7598346,4149.908371
53,6.72818155,0.339432254,-0.000681111,,1568.64194,421.2934487,821.0372476
54,6.887523794,0.124739731,-8.83E-05,,1282.122864,726.2031614,1092.800577
55,7.034630915,0.232386444,0.000633337,,1730.23392,669.803041,1386.828086
56,7.80701471,0.29143758,0.000740165,,4367.128439,913.7458326,2702.535606
57,8.087089529,0.454616251,0.001355791,,5457.725031,980.6188578,3956.78238
58,7.099519913,0.328185126,-0.000767797,,2334.173894,651.9365845,746.3974978
59,6.966457,0.2240636,-0.000380122,,1851.838386,694.8255055,947.2222429
60,7.023824016,0.253424044,0.000745411,,2082.945799,679.5798968,2030.455001
61,7.230773742,0.264464566,-0.000187322,,2180.512676,765.6931734,993.4550696
62,7.114801915,0.209970856,0.000490727,,1895.109967,788.7046328,1759.966257
63,7.592304964,0.433583662,0.001350527,,3606.248014,779.3296929,3270.068083
64,7.428249579,0.467399808,0.001564775,,4564.899208,797.4538956,4564.899208
65,7.016492464,0.20081915,0.000388821,,1797.808649,694.1732978,1678.061984
66,7.062195647,0.176510572,-3.13E-05,,1731.578601,866.0876396,993.4550696
67,7.048960767,0.256890691,0.000292173,,2149.549302,673.3055316,1935.962882
68,7.170550277,0.304844894,0.000796243,,3270.068083,903.0188764,3270.068083
69,7.796731493,0.37646684,0.000972219,,4734.666245,1000,2972.789166
70,7.58840115,0.266143379,0.00025259,,3491.039924,978.9508232,2576.766596
71,7.949408689,0.469420511,0.0013658,,6286.150883,868.2728248,4787.70668
72,7.305422275,0.336195578,0.000889252,,2711.67983,742.4244444,2456.850551
73,7.036773251,0.115462543,0.000175594,,1490.678473,848.5849688,1146.138914
74,7.340270952,0.348175423,0.00077242,,3067.638592,783.320185,1678.061984
75,7.586734888,0.307968096,0.00046874,,3876.767782,982.2897346,2972.789166
76,7.44600717,0.232951316,0.000539238,,2539.729978,804.2492501,1678.061984
77,7.542031462,0.323953996,0.000956175,,3702.651264,919.212924,3597.074891
78,7.308564369,0.554380746,0.001668672,,5379.715941,604.7957267,5266.477348
79,7.858859258,0.684247996,0.002260715,,8004.703379,917.6617476,6372.437591
80,7.4061121,0.476549705,0.001449791,,4970.358211,941.3721749,4352.460618
81,7.234391911,0.334305093,0.001069357,,2509.643259,805.6196107,1678.061984
82,7.541793425,0.378777655,0.000832322,,3239.438487,834.2266736,1454.517567
83,7.430011056,0.366159757,0.001122421,,2897.639008,897.6238284,2342.515087
84,7.108565335,0.36339301,0.000931169,,2905.224842,664.7227216,1935.962882
85,7.806729065,0.444754101,0.001471181,,4530.030389,955.0871945,3772.643973
86,7.709276548,0.369561114,0.001050726,,4449.381241,1000,3597.074891
87,7.634532801,0.415373826,0.001373223,,6985.854668,978.9508232,6683.46893
88,7.565882811,0.421721486,0.001244196,,3853.658298,913.0239065,2233.500501
89,7.114754308,0.170540485,0.000236074,,1914.618927,786.0343656,1525.510894
90,7.322703791,0.387053777,0.001175472,,3671.267129,820.1778546,3429.67634
91,7.882472569,0.660394292,0.00217386,,6487.329926,881.6909102,5793.125083
92,7.795922166,0.286725977,0.000350445,,4487.841858,1000,3597.074891
93,7.212682899,0.400094875,0.001281258,,3479.643907,774.0511066,3270.068083
94,7.244865557,0.515575668,0.001698365,,3652.56448,643.0046346,2972.789166
95,7.910418161,0.722591724,0.00243343,,10763.79355,876.4351345,10763.79355
