Simulation,Mean_Log_Wealth,Std_Log_Wealth,Slope_Log_Wealth,Time_to_Ruin,Peak_Wealth,Min_Wealth,Final_Wealth
1,7.909551021,0.372879439,0.000171393,,4944.256246,989.4729041,2415.321114
2,7.167889921,0.258611471,0.000749413,,2192.35574,644.9116827,1873.244146
3,6.852157098,0.356657032,-0.00059316,,2187.562451,522.1916498,931.2108473
4,8.559488371,1.178617163,0.003938522,,47784.14197,888.2763019,37116.34353
5,6.942928698,0.396471645,0.000102311,,1978.517208,427.1763738,1279.450957
6,7.637997941,0.474258687,0.001434564,,4713.855679,799.0059568,3536.271643
7,7.186361625,0.429361874,0.001335016,,3206.659752,615.3350406,2922.538548
8,7.373300339,0.299235905,0.000783122,,2615.432557,664.3449492,1996.133152
9,6.592537627,0.221435653,-0.000364976,,1415.487792,398.7064211,677.7544989
10,7.426620719,0.392715315,0.000853221,,4263.213619,753.2202669,1873.244146
11,7.224955424,0.29360766,-0.000249426,,2364.534048,644.7310641,769.5957416
12,7.209213216,0.250750164,0.000165157,,2399.148934,839.1023643,992.3003618
13,7.317250463,0.720795048,0.002348618,,6038.281311,504.9732818,5879.042584
14,6.880023344,0.178627233,-9.72E-05,,1552.028839,602.2533872,1548.135658
15,7.917549078,0.321431697,0.00055524,,4850.484409,1000,3318.566273
16,6.736502654,0.520957529,0.00077301,,1878.802118,272.2753055,1200.683438
17,6.872406147,0.38397434,0.000486393,,2947.677809,498.2218461,2573.771581
18,8.55269637,0.884770443,0.003007793,,30122.62693,969.7071624,27014.04186
19,6.316604659,0.46778165,-0.001196808,,1260.56004,241.6273011,560.127685
20,7.456200835,0.353970537,0.000400584,,3644.474331,832.3214076,992.3003618
21,7.315917453,0.496214107,0.001461211,,4412.557578,678.2212343,4278.888688
22,7.296684031,0.283309797,0.000151594,,3219.076562,956.6605212,1452.82696
23,7.935766875,0.700767077,0.001944464,,7488.131142,860.5176718,5177.455312
24,6.411819624,0.466783901,-0.000473053,,1281.7066,299.8179726,992.3003618
25,8.323164828,0.665364946,0.002083899,,9927.622023,977.5656311,4858.71288
26,7.40618124,0.430400299,0.001241481,,4278.888688,867.1000884,4278.888688
27,6.486912493,0.274443131,-0.000478546,,1203.394272,380.5764912,525.6442467
28,7.703569314,0.695672484,0.002314708,,8734.259707,594.2915973,8607.506248
29,7.519487048,0.397973026,0.000875519,,3443.979289,662.3513436,2415.321114
30,7.688144489,0.551865826,0.001796609,,6470.002591,828.9692184,3768.258972
31,6.721585643,0.258702892,-0.000606188,,1358.275149,428.3055227,992.3003618
32,8.717481736,1.102122223,0.003767087,,42145.90973,860.4808998,42145.90973
33,6.978983431,0.271538262,0.000455553,,1886.399626,588.9323126,820.0829436
34,7.932339136,0.867764576,0.0028468,,14974.29847,865.7055971,13428.98568
35,7.925547135,0.530967937,0.001678239,,6571.485229,883.3514534,3768.258972
36,7.664912038,0.592799022,0.001842378,,7447.569597,893.1904375,3768.258972
37,8.180088474,0.352207759,0.000842599,,7580.312323,1000,7580.312323
38,7.755239301,0.641945315,0.001862844,,7836.103287,644.5382326,3318.566273
39,7.75923833,0.356080314,0.000740217,,4909.565907,1000,2742.616754
40,6.662933225,0.250199629,0.00052224,,1384.770644,434.3053627,873.882219
41,7.012118239,0.323990461,0.000622611,,2626.121075,712.729917,1757.920621
42,8.277842505,0.817231362,0.002693672,,14016.57903,928.5574579,9172.177911
